id,timestamp,season,holiday,workingday,weather,temp,temp_feel,humidity,windspeed,demand
1,2017-01-01 00:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,81.0,0.0,2.772588722239781
2,2017-01-01 01:00:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80.0,0.0,3.6888794541139363
3,2017-01-01 02:00:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80.0,0.0,3.4657359027997265
4,2017-01-01 03:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,2.5649493574615367
5,2017-01-01 04:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,0.0
6,2017-01-01 05:00:00,spring,No,No,Mist,9.84,12.88,75.0,6.0032,0.0
7,2017-01-01 06:00:00,spring,No,No,Clear or partly cloudy,,13.635,80.0,0.0,0.6931471805599453
8,2017-01-01 07:00:00,spring,No,No,Clear or partly cloudy,8.2,12.88,86.0,0.0,1.0986122886681098
9,2017-01-01 08:00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75.0,0.0,2.0794415416798357
10,2017-01-01 09:00:00,spring,No,No,Clear or partly cloudy,13.12,17.425,76.0,0.0,2.6390573296152584
11,2017-01-01 10:00:00,spring,No,No,Clear or partly cloudy,15.58,19.695,76.0,16.9979,3.58351893845611
12,2017-01-01 11:00:00,spring,No,No,Clear or partly cloudy,14.76,16.665,81.0,19.0012,4.02535169073515
13,2017-01-01 12:00:00,spring,No,No,Clear or partly cloudy,17.22,21.21,77.0,19.0012,4.430816798843313
14,2017-01-01 13:00:00,spring,No,No,Mist,18.86,22.725,72.0,19.9995,4.543294782270004
15,2017-01-01 14:00:00,spring,No,No,Mist,18.86,22.725,72.0,19.0012,4.663439094112067
16,2017-01-01 15:00:00,spring,No,No,Mist,18.04,21.97,77.0,19.9995,4.700480365792417
17,2017-01-01 16:00:00,spring,No,No,Mist,17.22,21.21,82.0,19.9995,4.532599493153256
18,2017-01-01 17:00:00,spring,No,No,Mist,18.04,21.97,82.0,19.0012,4.204692619390966
19,2017-01-01 18:00:00,spring,No,No,Light snow or rain,17.22,21.21,88.0,16.9979,3.5553480614894135
20,2017-01-01 19:00:00,spring,No,No,Light snow or rain,,21.21,88.0,16.9979,3.6109179126442243
